courseID,name
13498,Whisper Creek Golf Club
12727,Prairie Vista Golf Course
16302,Bolingbrook Golf Club
19884,Addison Golf Course
14705,Oak Meadows Golf Course
11375,Hawthorn Ridge Golf Club
13242,Oak View Country Club
12079,Golf Club of Illinois
10015,Terrace Hill Golf Course
11374,Fountain Hills Golf Club
10171,Alton Municipal Golf Course
15263,Cloverleaf Golf Course
18579,Lockhaven Country Club
12517,Rock Spring Golf Course
13286,Roseland Golf Course
19418,Spencer T. Olin Community Golf Course
15311,Woodlands Golf Club
13910,Shady Oaks Country Club
10816,Union County Country Club
12351,Antioch Golf Club
16195,Apple Canyon Lake Golf Course
19903,Kaskaskia Country Club
19617,Arlington Lakes Golf Club
16732,Par 3 Course at Nickol Knoll Golf Club
18101,Rolling Green Country Club
15047,North Greens Golf Course
13329,Edgewood Golf Club
18283,Tri-County Country Club
12743,Aurora City Golf Course
11148,Aurora Country Club
12631,Orchard Valley Golf Course
13484,Stonebridge Country Club
14049,Swan Creek Golf Club
18552,Barrington Hills Country Club
19738,Barrington Park District Golf Course
17524,Biltmore Country Club
14407,Lake Barrington Shores Golf Club
12015,Makray Memorial Golf Club
12593,Stonehenge GC
19683,Bow Lake Golf Course
18099,Apple Orchard Golf Course
18737,Bartlett Hills Golf Club
19023,Villa Olivia Country Club
13891,Coyote Creek Golf Club
19512,Settlers Hill Golf Course
12405,Greenshire Golf Course
17441,ThunderHawk Golf Club
16724,Center North Course at Cardinal Creek Golf Course
19659,North South Course at Cardinal Creek Golf Course
12508,South Center Course at Cardinal Creek Golf Course
